model,MAE,RMSE,MAPE,sMAPE,topic_id
XGBoost-lag8,69.70802829662959,111.9836164869211,74.4784515888829,129.54527813197026,15
LSTM,68.4661731277636,110.8532407539058,74.22944493250671,121.02731434689804,15
Naive,58.833333333333336,104.51953565402658,75.0,150.0,16
MA(4),57.708333333333336,103.26977211814372,56250061.63645631,162.15027866905183,16
"ARIMA(1,1,1)",58.03554936102754,103.55173801699483,43245419.60584323,172.4236461505564,16
"SARIMA(1,1,1)(1,0,1,52)",58.03179285377855,103.54764236170126,43434161.7676502,172.30963364108078,16
Prophet,58.08865073910781,103.68836068170887,36413371.54100549,173.24457981390628,16
XGBoost-lag8,56.847661431257926,102.93432755952797,28795837.86604129,150.04950253559429,16
LSTM,57.991167889811074,102.74714549710636,52457916.55949657,174.92961487759348,16
Naive,129.66666666666666,224.81733325821062,41666725.68581051,121.12406492941383,17
MA(4),130.16666666666666,225.39040204350613,33333392.215315074,124.14340816331031,17
"ARIMA(1,1,1)",129.70604358643672,224.85850283398878,41224810.110576004,121.37184048310097,17
"SARIMA(1,1,1)(1,0,1,52)",129.70208925797797,224.85448478667317,41264348.12787283,121.34634616463302,17
Prophet,132.76877623115308,227.2012762023359,6300265.853425874,175.53211172452416,17
XGBoost-lag8,129.399679094553,224.24971678257802,49974437.961164914,126.86659318143884,17
LSTM,129.50617614868813,224.53247848576893,45967487.61393943,121.32404667451424,17
Naive,182.58333333333334,375.1829553697769,75.0,150.0,18
MA(4),182.58333333333334,375.1829553697769,75.0,150.0,18
"ARIMA(1,1,1)",182.57585149978658,375.1756919916355,373180.6285341068,199.5811235015417,18
"SARIMA(1,1,1)(1,0,1,52)",182.5732821457441,375.17402247536,343819.1445698516,199.37873062398668,18
Prophet,182.56649381097512,375.1259639727999,1242165.8102118205,199.29908994643358,18
XGBoost-lag8,182.57684054629257,375.17663609268504,324714.26109363703,199.63753430309285,18
LSTM,182.5760660798438,375.1765833080394,346696.14730820525,199.75694756745324,18
Naive,59.333333333333336,100.9859726232642,50000065.42623119,161.80443496600222,19
MA(4),59.166666666666664,100.69880833455777,62500067.199455656,158.7086203132304,19
"ARIMA(1,1,1)",59.11284061526081,100.54949860337922,71921874.57504754,157.36049415390468,19
"SARIMA(1,1,1)(1,0,1,52)",59.10819976151407,100.54387662974223,72030624.20484203,157.29320691243828,19
Prophet,59.54362739823964,101.33140416030201,36642956.97592684,165.38150778119785,19
XGBoost-lag8,58.682425022125244,99.92149954284064,83006173.03373069,153.49244595403698,19
LSTM,59.01681196683743,100.56680931115366,72415598.42780694,156.60692154056622,19
