model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,0.75,0.8660254037844386,62500006.25,133.33333333333331,6
MA(4),0.75,0.8660254037844386,62500006.25,133.33333333333331,6
"ARIMA(1,1,1)",0.6999445215194042,0.7683254690037776,50043033.05656308,141.21177412892465,6
"SARIMA(1,1,1)(1,0,1,52)",0.7222152840754715,0.7909885646804279,48172487.54531031,146.20808710741824,6
Prophet,0.8438688320269974,1.0982596500079205,23062945.402949337,200.0,6
XGBoost-lag8,0.7133817858994007,0.8170233446104255,50569907.3200386,141.30000513879236,6
LSTM,0.9447529667767333,1.0651503703783933,58294249.50876932,150.35659835658066,6
Naive,1.625,1.7677669529663689,150000012.5,158.33333333333331,7
MA(4),0.875,0.9354143466934853,75000006.25,158.33333333333331,7
"ARIMA(1,1,1)",0.6755376198065113,0.780585432946033,40244622.265692756,176.45304442313346,7
"SARIMA(1,1,1)(1,0,1,52)",0.6604392924003993,0.8175470854051131,33745096.489850156,185.51221692464173,7
Prophet,0.5890719346032584,0.7987531995953018,22518610.374547727,196.19790505891618,7
XGBoost-lag8,0.5206422787123302,0.6559371493761057,42700724.56984499,156.65859590357704,7
LSTM,0.9006359655381784,1.082322583299591,61594126.39465971,178.2877228897981,7
Naive,0.0,0.0,0.0,0.0,8
MA(4),0.25,0.25,25000000.0,200.0,8
"ARIMA(1,1,1)",0.10294141220272647,0.1031147086704437,10294141.220272647,200.0,8
"SARIMA(1,1,1)(1,0,1,52)",0.10036215263095932,0.1007018893287168,10036215.263095932,200.0,8
Prophet,0.3630745175638389,0.3717410180727016,36307451.756383896,200.0,8
XGBoost-lag8,0.07079491944750771,0.0889895852457071,7079491.944750771,200.0,8
LSTM,0.0375003479460245,0.06424893785874274,3750034.79460245,100.0,8
Naive,0.75,1.224744871391589,37.5,75.0,9
MA(4),0.8125,1.0897247358851685,15625032.8125,183.33333333333331,9
"ARIMA(1,1,1)",0.8885901369404066,0.9775781001221542,35814764.0253119,166.03734018465357,9
"SARIMA(1,1,1)(1,0,1,52)",0.8518949086650012,0.9846238654887806,29382980.500261974,169.44186028309153,9
Prophet,0.8833439413882398,0.9891693173263364,33943763.84019159,167.78403756992495,9
XGBoost-lag8,0.7738608308136463,0.9149764070195602,25516680.858272314,164.67154926974285,9
LSTM,0.7346789500980799,1.0238198042656492,32801878.61081626,128.69614495003708,9
Naive,0.125,0.3535533905932738,12.5,25.0,10
MA(4),0.125,0.3535533905932738,12.5,25.0,10
"ARIMA(1,1,1)",0.17621883132924132,0.33532641342749486,5984152.69688777,196.7735320969613,10
"SARIMA(1,1,1)(1,0,1,52)",0.17048023178111196,0.33636132394602647,5327831.139536362,197.06397512786808,10
Prophet,0.5893216587202152,0.6037049097493485,53410927.76930043,182.08623733129787,10
XGBoost-lag8,0.22385825589299202,0.3307890412756029,11533474.039878137,194.17698684045936,10
LSTM,0.3204135465865419,0.3761093109204797,22523326.42260027,190.36955975429916,10
Naive,0.875,1.0606601717798212,25000062.5,66.66666666666666,11
MA(4),0.5,0.6123724356957945,15625025.0,50.427350427350426,11
"ARIMA(1,1,1)",0.3889740186317664,0.6062498362417535,12924704.212092092,42.71350560221904,11
"SARIMA(1,1,1)(1,0,1,52)",0.4073759192226114,0.6062841409890749,13778789.953838388,43.75642363203542,11
Prophet,0.46961882852177445,0.6485816923015382,12544384.53686543,50.359644798707684,11
XGBoost-lag8,0.5208382867276669,0.714879418835685,19450337.8313791,56.01195242452736,11
LSTM,0.9211088490723959,1.0583794331667082,18346770.574537273,87.14161272265419,11
Naive,0.25,0.5,25.0,50.0,12
MA(4),0.25,0.5,25.0,50.0,12
"ARIMA(1,1,1)",0.48808781792011036,0.49031635653103867,34685428.213948004,169.7112479619646,12
"SARIMA(1,1,1)(1,0,1,52)",0.4095063186826478,0.4276361544265346,25444514.512284305,172.5312945717001,12
Prophet,0.30158013069973433,0.34761220676450455,20769692.32161261,162.52227314300202,12
XGBoost-lag8,0.580683670938015,0.5988721747130314,45064498.822028935,167.64774582049097,12
LSTM,0.4452882450432316,0.47956104058730475,29404353.11318232,172.98270899074345,12
Naive,0.375,0.7905694150420949,25.0,50.0,13
MA(4),0.375,0.7905694150420949,25.0,50.0,13
"ARIMA(1,1,1)",0.44332393577467566,0.7346942161534603,10317755.55579307,190.6071834536312,13
"SARIMA(1,1,1)(1,0,1,52)",0.4549119231231614,0.7617093577929543,10637905.160048572,191.78838341854157,13
Prophet,0.4281125800457554,0.7722332026580088,6094703.395296532,197.86462439763156,13
XGBoost-lag8,0.43408699333667755,0.7418454024399275,8863071.784739383,191.92623531364657,13
LSTM,0.41789406571635807,0.7595303340096315,5879154.612133436,196.08046568399686,13
